userId,billingCountry,transactionTime,product,price,amount,period
41851,United States,1420334701,PRO,99.99,1007.9,12
13575,India,1420383152,PRO,99.99,99.99,1
73971,India,1420461487,PRO,99.99,99.99,1
80119,United States,1421010897,GURU,199.99,2015.9,12
90456,United States,1421020614,GURU,199.99,2015.9,12
18151,United States,1421033147,BUSINESS,399.99,399.99,1
4653,United States,1421059569,GURU,199.99,199.99,1
63603,United Kingdom,1421551862,BUSINESS,399.99,4031.9,12
38270,United Kingdom,1421585003,PRO,99.99,99.99,1
59610,United States,1421597683,PRO,99.99,99.99,1
16382,United States,1421620407,GURU,199.99,2015.9,12
57445,Canada,1421709817,PRO,99.99,79.99,1
84497,France,1422177533,PRO,99.99,1007.9,12
51005,United Kingdom,1422218108,BUSINESS,399.99,4031.9,12
55272,United Kingdom,1422295274,PRO,99.99,1007.9,12
70788,United States,1422753930,PRO,99.99,49.99,1
71803,United Kingdom,1422793753,GURU,199.99,2015.9,12
84556,United Kingdom,1422795716,PRO,99.99,99.99,1
39210,France,1422826524,GURU,199.99,199.99,1
91342,United States,1422882995,PRO,99.99,99.99,1
55936,France,1422919641,PRO,99.99,99.99,1
92834,United Kingdom,1423011722,GURU,199.99,199.99,1
64277,United Kingdom,1423035517,GURU,199.99,199.99,1
49186,United Kingdom,1423129391,PRO,99.99,99.99,1
82237,India,1423142515,BUSINESS,399.99,399.99,1
23198,France,1423171787,PRO,99.99,99.99,1
19959,United Kingdom,1423381494,PRO,99.99,99.99,1
59036,India,1423392336,GURU,199.99,199.99,1
73049,United Kingdom,1423416588,GURU,199.99,199.99,1
36562,India,1423472153,PRO,99.99,99.99,1
78284,United Kingdom,1423489125,PRO,99.99,99.99,1
87840,United Kingdom,1423497372,PRO,99.99,99.99,1
27659,United States,1423519114,PRO,99.99,99.99,1
51778,India,1423616866,PRO,99.99,79.99,1
93636,United Kingdom,1423617093,PRO,99.99,99.99,1
1843,India,1423677644,GURU,199.99,159.99,1
4653,United States,1423737969,GURU,199.99,199.99,1
61369,United Kingdom,1423992662,GURU,199.99,199.99,1
85820,United Kingdom,1423997836,BUSINESS,399.99,399.99,1
20975,United Kingdom,1424008225,PRO,99.99,99.99,1
10243,United Kingdom,1424019483,PRO,99.99,1007.9,12
24885,United Kingdom,1424025850,PRO,99.99,1007.9,12
95802,France,1424034816,GURU,199.99,199.99,1
75262,United States,1424041785,PRO,99.99,1007.9,12
70720,United States,1424253729,PRO,99.99,99.99,1
38270,United Kingdom,1424263403,BUSINESS,399.99,4031.9,12
59610,United States,1424276083,PRO,99.99,99.99,1
89431,India,1424370035,PRO,99.99,99.99,1
51092,India,1424570449,PRO,99.99,1007.9,12
65536,India,1424605328,PRO,99.99,99.99,1
37421,Canada,1424640067,GURU,199.99,2015.9,12
53979,India,1424832796,PRO,99.99,99.99,1
3641,Canada,1424847391,PRO,99.99,99.99,1
14291,United Kingdom,1424863049,GURU,199.99,199.99,1
24018,India,1424868099,PRO,99.99,49.99,1
83097,India,1424878702,PRO,99.99,99.99,1
80182,Canada,1424882225,PRO,99.99,1007.9,12
81366,United States,1424901097,GURU,199.99,199.99,1
66747,United States,1424905561,GURU,199.99,199.99,1
9563,United Kingdom,1424960838,BUSINESS,399.99,4031.9,12
70788,United States,1425173130,PRO,99.99,99.99,1
70693,United Kingdom,1425183662,GURU,199.99,199.99,1
97071,India,1425217083,GURU,199.99,199.99,1
91315,United States,1425228119,PRO,99.99,99.99,1
91342,United States,1425302195,PRO,99.99,99.99,1
1266,United States,1425339997,PRO,99.99,99.99,1
43492,India,1425438937,PRO,99.99,99.99,1
15354,Canada,1425439663,GURU,199.99,199.99,1
96700,United Kingdom,1425482338,PRO,99.99,503.95,12
52909,United States,1425493483,PRO,99.99,1007.9,12
93247,France,1425535350,GURU,199.99,199.99,1
43916,Canada,1425793971,GURU,199.99,2015.9,12
12818,United Kingdom,1425804103,GURU,199.99,199.99,1
38901,United States,1425805199,GURU,199.99,100.0,1
58017,United Kingdom,1425808570,PRO,99.99,99.99,1
26394,United States,1425811702,PRO,99.99,99.99,1
14098,United Kingdom,1425813159,GURU,199.99,2015.9,12
71436,United States,1425813489,BUSINESS,399.99,399.99,1
45463,France,1425820291,PRO,99.99,99.99,1
69756,United Kingdom,1425820730,GURU,199.99,2015.9,12
86203,United States,1425826218,PRO,99.99,99.99,1
41476,India,1425833864,BUSINESS,399.99,399.99,1
56452,India,1425849188,BUSINESS,399.99,399.99,1
4227,United Kingdom,1425856632,GURU,199.99,2015.9,12
38381,France,1425893845,PRO,99.99,79.99,1
14706,United Kingdom,1425895503,BUSINESS,399.99,399.99,1
78284,United Kingdom,1425908325,PRO,99.99,99.99,1
87840,United Kingdom,1425916572,BUSINESS,399.99,399.99,1
52602,United States,1425920088,PRO,99.99,99.99,1
1032,United States,1425926918,PRO,99.99,99.99,1
27659,United States,1425938314,PRO,99.99,99.99,1
2860,United States,1425943247,GURU,199.99,159.99,1
68210,United Kingdom,1426039096,PRO,99.99,79.99,1
32731,France,1426068662,GURU,199.99,199.99,1
2639,United Kingdom,1426074173,PRO,99.99,99.99,1
6709,United Kingdom,1426086005,GURU,199.99,199.99,1
71171,United States,1426098880,GURU,199.99,199.99,1
27270,Canada,1426114897,PRO,99.99,99.99,1
4653,United States,1426157169,GURU,199.99,199.99,1
2906,United States,1426382573,PRO,99.99,99.99,1
56623,United Kingdom,1426396293,BUSINESS,399.99,4031.9,12
15279,India,1426434902,PRO,99.99,99.99,1
57310,France,1426443810,PRO,99.99,99.99,1
58583,United States,1426444965,PRO,99.99,1007.9,12
60396,United Kingdom,1426447256,PRO,99.99,99.99,1
72416,United Kingdom,1426451954,PRO,99.99,1007.9,12
25255,United Kingdom,1426520448,PRO,99.99,79.99,1
19226,United States,1426540937,PRO,99.99,79.99,1
64606,United Kingdom,1426657662,PRO,99.99,1007.9,12
73596,United States,1426688653,PRO,99.99,99.99,1
12403,Canada,1426711873,GURU,199.99,199.99,1
66520,United States,1426712246,PRO,99.99,1007.9,12
46413,United States,1427012973,GURU,199.99,199.99,1
50090,United States,1427016972,PRO,99.99,99.99,1
75979,United States,1427021521,BUSINESS,399.99,399.99,1
55885,Canada,1427040925,PRO,99.99,1007.9,12
14148,United States,1427042189,GURU,199.99,199.99,1
72623,United States,1427059029,GURU,199.99,100.0,1
36909,United States,1427066532,PRO,99.99,99.99,1
87707,India,1427121779,GURU,199.99,199.99,1
55964,United Kingdom,1427128529,BUSINESS,399.99,319.99,1
51172,United States,1427283835,PRO,99.99,99.99,1
69155,India,1427287858,PRO,99.99,1007.9,12
28392,India,1427322107,GURU,199.99,199.99,1
49956,United Kingdom,1427686706,GURU,199.99,100.0,1
54155,United States,1427748143,PRO,99.99,1007.9,12
26194,United States,1427869180,GURU,199.99,199.99,1
67959,Canada,1427877595,GURU,199.99,199.99,1
2097,United Kingdom,1427897114,PRO,99.99,99.99,1
54199,Canada,1427901280,PRO,99.99,99.99,1
48157,India,1427903788,PRO,99.99,99.99,1
91315,United States,1427906519,PRO,99.99,99.99,1
41463,France,1427927371,GURU,199.99,2015.9,12
67910,India,1427927865,PRO,99.99,1007.9,12
20756,United Kingdom,1427929232,BUSINESS,399.99,4031.9,12
19553,Canada,1427932192,GURU,199.99,2015.9,12
32104,United States,1427971968,PRO,99.99,1007.9,12
18259,United Kingdom,1427989089,GURU,199.99,199.99,1
15354,Canada,1428118063,GURU,199.99,199.99,1
80861,United Kingdom,1428118593,PRO,99.99,1007.9,12
5987,United Kingdom,1428175620,BUSINESS,399.99,4031.9,12
84213,India,1428188833,PRO,99.99,99.99,1
97574,United Kingdom,1428210531,PRO,99.99,99.99,1
45764,France,1428219576,GURU,199.99,199.99,1
68912,United States,1428242998,BUSINESS,399.99,399.99,1
79767,United Kingdom,1428246210,PRO,99.99,99.99,1
47677,India,1428251698,PRO,99.99,99.99,1
96571,United States,1428258149,PRO,99.99,99.99,1
89270,United States,1428272256,GURU,199.99,2015.9,12
11752,United Kingdom,1428313677,GURU,199.99,199.99,1
38901,United States,1428483599,GURU,199.99,100.0,1
98367,United States,1428484947,GURU,199.99,199.99,1
26394,United States,1428490102,PRO,99.99,99.99,1
37312,United Kingdom,1428500269,BUSINESS,399.99,399.99,1
41476,India,1428512264,BUSINESS,399.99,399.99,1
4114,United Kingdom,1428521321,PRO,99.99,1007.9,12
96421,United Kingdom,1428544049,PRO,99.99,99.99,1
92012,United Kingdom,1428553293,PRO,99.99,503.95,12
14706,United Kingdom,1428573903,BUSINESS,399.99,399.99,1
78284,United Kingdom,1428586725,PRO,99.99,99.99,1
87840,United Kingdom,1428594972,PRO,99.99,99.99,1
76017,United States,1428595182,PRO,99.99,99.99,1
52602,United States,1428598488,PRO,99.99,99.99,1
85128,United Kingdom,1428609978,GURU,199.99,2015.9,12
80833,United States,1428711923,PRO,99.99,99.99,1
68210,United Kingdom,1428717496,PRO,99.99,79.99,1
10974,United Kingdom,1428748376,PRO,99.99,99.99,1
9992,India,1428750740,PRO,99.99,1007.9,12
25233,United States,1428751555,GURU,199.99,159.99,1
70874,United Kingdom,1428753453,GURU,199.99,199.99,1
27270,Canada,1428793297,GURU,199.99,159.99,1
40323,United Kingdom,1428800652,GURU,199.99,199.99,1
26591,India,1428812465,PRO,99.99,1007.9,12
74898,Canada,1428816551,GURU,199.99,199.99,1
92203,United States,1428836576,PRO,99.99,99.99,1
68989,United States,1428838882,PRO,99.99,99.99,1
68176,United States,1428852695,GURU,199.99,199.99,1
32533,United States,1428852822,PRO,99.99,99.99,1
64352,United States,1428870765,PRO,99.99,1007.9,12
4238,France,1428872017,PRO,99.99,99.99,1
2756,France,1428876416,GURU,199.99,199.99,1
26836,United Kingdom,1428902881,PRO,99.99,99.99,1
90994,United States,1429058459,GURU,199.99,199.99,1
2906,United States,1429060973,PRO,99.99,99.99,1
91090,France,1429096050,GURU,199.99,2015.9,12
50529,France,1429096230,PRO,99.99,99.99,1
85624,France,1429102398,GURU,199.99,2015.9,12
48332,France,1429110430,PRO,99.99,99.99,1
15279,India,1429113302,GURU,199.99,199.99,1
61912,United Kingdom,1429120658,PRO,99.99,99.99,1
57310,France,1429122210,PRO,99.99,99.99,1
60396,United Kingdom,1429125656,PRO,99.99,99.99,1
75766,France,1429138608,GURU,199.99,199.99,1
79345,United States,1429180101,PRO,99.99,99.99,1
